1152    13   11 GE3 94.5
1153    14   11 GE4 94.5
1154    2   11 BGO 0.0
1155    50   11 SEGL 0.0
1156    51   11 SEGM 0.0
1157    52   11 SEGR 0.0
1158    4   11 AUX 0.0
1159    4   11 AUX 0.0
1160    11   12 GE1 87.5
1161    12   12 GE2 87.5
1162    13   12 GE3 92.5
1163    14   12 GE4 92.5
1164    2   12 BGO 0.0
1165    50   12 SEGL 0.0
1166    51   12 SEGM 0.0
1167    52   12 SEGR 0.0
1168    4   12 AUX 0.0
1169    4   12 AUX 0.0
1170    11   13 GE1 86.0
1171    12   13 GE2 87.0
1172    13   13 GE3 94.5
1173    14   13 GE4 92.5
1174    2   13 BGO 0.0
1175    50   13 SEGL 0.0
1176    51   13 SEGM 0.0
1177    52   13 SEGR 0.0
1178    4   13 AUX 0.0
1179    4   13 AUX 0.0
1180    11   14 GE1 85.0
1181    12   14 GE2 85.0
1182    13   14 GE3 94.0
1183    14   14 GE4 94.0
1184    2   14 BGO 0.0
1185    50   14 SEGL 0.0
1186    51   14 SEGM 0.0
1187    52   14 SEGR 0.0
1188    4   14 AUX 0.0
1189    4   14 AUX 0.0
1190    11   15 GE1 42.0
1191    12   15 GE2 44.0
1192    13   15 GE3 48.0
1193    14   15 GE4 47.0
1194    2   15 BGO 0.0
1195    50   15 SEGL 0.0
1196    51   15 SEGM 0.0
1197    52   15 SEGR 0.0
1198    4   15 AUX 0.0
1199    4   15 AUX 0.0
1200    11   16 GE1 42.0
1201    12   16 GE2 44.0
1202    13   16 GE3 48.0
1203    14   16 GE4 47.0
1204    2   16 BGO 0.0
1205    50   16 SEGL 0.0
1206    51   16 SEGM 0.0
1207    52   16 SEGR 0.0
1208    4   16 AUX 0.0
1209    4   16 AUX 0.0
1090    5    1 SI 0.0
1091    5    2 SI 0.0
1092    5    3 SI 0.0
1093    5    4 SI 0.0
1094    5    5 SI 0.0
1095    5    6 SI 0.0
1096    5    7 SI 0.0
1097    5    8 SI 0.0
1098    5    9 SI 0.0
1099    5   10 SI 0.0
1100    5   11 SI 0.0
1101    5   12 SI 0.0
1102    5   13 SI 0.0
1103    5   14 SI 0.0
1104    5   15 SI 0.0
1105    5   16 SI 0.0
1106    5   17 SI 0.0
1107    5   18 SI 0.0
1108    5   19 SI 0.0
1109    5   20 SI 0.0
1110    5   21 SI 0.0
1111    5   22 SI 0.0
1112    5   23 SI 0.0
1113    5   24 SI 0.0
1114    5   25 SI 0.0
1115    5   26 SI 0.0
1116    5   27 SI 0.0
1117    5   28 SI 0.0
1118    5   29 SI 0.0
1119    5   30 SI 0.0
1120    5   31 SI 0.0
1121    5   32 SI 0.0
1122    5   33 SI 0.0
1123    5   34 SI 0.0
1124    5   35 SI 0.0
1125    5   36 SI 0.0
1126    5   37 SI 0.0
1127    5   38 SI 0.0
1128    5   39 SI 0.0
1129    5   40 SI 0.0
